Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,National,LastElection
Australian Labor Party,28,27,12,11,7,4,3,2,94,77
Liberal,6,6,0,4,2,0,0,0,18,27
Liberal National Party of Queensland,0,0,16,0,0,0,0,0,16,21
The Nationals,6,3,0,0,0,0,0,0,9,10
Country Liberal Party (NT),0,0,0,0,0,0,0,0,0,0
The Greens,0,0,1,0,0,0,0,0,1,4
Centre Alliance,0,0,0,0,1,0,0,0,1,1
Katter's Australian Party (KAP),0,0,1,0,0,0,0,0,1,1
Independent,5,2,0,1,0,1,0,0,9,10
Pauline Hanson's One Nation,0,0,0,0,0,0,0,0,0,0
Trumpet of Patriots,0,0,0,0,0,0,0,0,0,0
Family First Party Australia,0,0,0,0,0,0,0,0,0,0
Libertarian Party,0,0,0,0,0,0,0,0,0,0
Legalise Cannabis Australia,0,0,0,0,0,0,0,0,0,0
Australian Citizens Party,0,0,0,0,0,0,0,0,0,0
Gerard Rennick People First,0,0,0,0,0,0,0,0,0,0
Animal Justice Party,0,0,0,0,0,0,0,0,0,0
FUSION | Planet Rescue | Whistleblower Protection | Innovation,0,0,0,0,0,0,0,0,0,0
Australian Christians,0,0,0,0,0,0,0,0,0,0
"Shooters, Fishers and Farmers Party",0,0,0,0,0,0,0,0,0,0
Socialist Alliance,0,0,0,0,0,0,0,0,0,0
Health Environment Accountability Rights Transparency (HEART),0,0,0,0,0,0,0,0,0,0
Victorian Socialists,0,0,0,0,0,0,0,0,0,0
Indigenous - Aboriginal Party of Australia,0,0,0,0,0,0,0,0,0,0
Australian Democrats,0,0,0,0,0,0,0,0,0,0
The Great Australian Party,0,0,0,0,0,0,0,0,0,0
Non Affiliated,0,0,0,0,0,0,0,0,0,0
Too close to attribute,1,0,0,0,0,0,0,0,1,-
